airport,airport_name,busy
LCH,"Lake Charles, LA: Lake Charles Regional",0
PSM,"Portsmouth, NH: Portsmouth International at Pease",0
TTN,"Trenton, NJ: Trenton Mercer",0
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway",0
BLV,"Belleville, IL: Scott AFB/MidAmerica",0
ELM,"Elmira/Corning, NY: Elmira/Corning Regional",0
GRI,"Grand Island, NE: Central Nebraska Regional",0
HGR,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",0
HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field",0
LCK,"Columbus, OH: Rickenbacker International",0
OGD,"Ogden, UT: Ogden-Hinckley",0
OGS,"Ogdensburg, NY: Ogdensburg International",0
OWB,"Owensboro, KY: Owensboro Daviess County Regional",0
PGD,"Punta Gorda, FL: Punta Gorda Airport",0
PIE,"St. Petersburg, FL: St Pete Clearwater International",0
PVU,"Provo, UT: Provo Municipal",0
RFD,"Rockford, IL: Chicago/Rockford International",0
SCK,"Stockton, CA: Stockton Metropolitan",0
SFB,"Sanford, FL: Orlando Sanford International",0
SMX,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",0
STC,"St. Cloud, MN: St. Cloud Regional",0
USA,"Concord, NC: Concord Padgett Regional",0
PPG,"Pago Pago, TT: Pago Pago International",0
ABI,"Abilene, TX: Abilene Regional",0
ACT,"Waco, TX: Waco Regional",0
ALO,"Waterloo, IA: Waterloo Regional",0
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",0
CMI,"Champaign/Urbana, IL: University of Illinois/Willard",0
DBQ,"Dubuque, IA: Dubuque Regional",0
DRT,"Del Rio, TX: Del Rio International",0
GCK,"Garden City, KS: Garden City Regional",0
GGG,"Longview, TX: East Texas Regional",0
PAE,"Everett, WA: Snohomish County",0
BKG,"Branson, MO: Branson Airport",0
ATY,"Watertown, SD: Watertown Regional",0
PIR,"Pierre, SD: Pierre Regional",0
BFM,"Mobile, AL: Mobile Downtown",0
WYS,"West Yellowstone, MT: Yellowstone",0
ACK,"Nantucket, MA: Nantucket Memorial",0
MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",0
AKN,"King Salmon, AK: King Salmon Airport",0
DLG,"Dillingham, AK: Dillingham Airport",0
GST,"Gustavus, AK: Gustavus Airport",0
HYA,"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field",0
CLD,"Carlsbad, CA: McClellan-Palomar",0
CEC,"Crescent City, CA: Jack McNamara Field",0
CIC,"Chico, CA: Chico Municipal",0
IPL,"El Centro, CA: Imperial County",0
IYK,"Inyokern, CA: Inyokern Airport",0
MOD,"Modesto, CA: Modesto City-County-Harry Sham Field",0
LMT,"Klamath Falls, OR: Crater Lake Klamath Regional",0
PGV,"Greenville, NC: Pitt Greenville",0
XWA,"Williston, ND: Williston Basin International",0
DIK,"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",0
MCN,"Macon, GA: Middle Georgia Regional",0
ILG,"Wilmington, DE: New Castle",0
UST,"St. Augustine, FL: Northeast Florida Regional",0
FOE,"Topeka, KS: Topeka Regional",0
IFP,"Bullhead City, AZ: Laughlin/Bullhead International",0
FNL,"Fort Collins/Loveland, CO: Northern Colorado Regional",0
ENV,"Wendover, UT: Wendover Airport",0
TKI,"Tokeen, AK: Tokeen Airport",0
YNG,"Youngstown/Warren, OH: Youngstown-Warren Regional",0
FLO,"Florence, SC: Florence Regional",0
EFD,"Houston, TX: Ellington",0
